Circoscrizione,Coalizione,Partito,Voti
PIEMONTE 1,CDX,LEGA PER SALVINI PREMIER,90461
PIEMONTE 1,CDX,FORZA ITALIA,72343
PIEMONTE 1,CDX,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,6207
PIEMONTE 1,CSX,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,231406
PIEMONTE 1,CSX,ALLEANZA VERDI E SINISTRA,51723
PIEMONTE 1,CSX,+EUROPA,47993
PIEMONTE 1,CSX,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,4942
PIEMONTE 1,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,130043
PIEMONTE 1,AZIONE - ITALIA VIVA - CALENDA,AZIONE - ITALIA VIVA - CALENDA,93262
PIEMONTE 1,ITALEXIT PER L'ITALIA,ITALEXIT PER L'ITALIA,25090
PIEMONTE 1,UNIONE POPOLARE CON DE MAGISTRIS,UNIONE POPOLARE CON DE MAGISTRIS,16940
PIEMONTE 1,ITALIA SOVRANA E POPOLARE,ITALIA SOVRANA E POPOLARE,16399
PIEMONTE 1,VITA,VITA,10054
PIEMONTE 1,CDX,FRATELLI D'ITALIA CON GIORGIA MELONI,252681
PIEMONTE 2,CDX,FRATELLI D'ITALIA CON GIORGIA MELONI,295920
PIEMONTE 2,CDX,LEGA PER SALVINI PREMIER,126361
PIEMONTE 2,CDX,FORZA ITALIA,87863
PIEMONTE 2,CDX,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,6322
PIEMONTE 2,CSX,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,170952
PIEMONTE 2,CSX,ALLEANZA VERDI E SINISTRA,29997
PIEMONTE 2,CSX,+EUROPA,34306
PIEMONTE 2,CSX,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,4203
PIEMONTE 2,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,77904
PIEMONTE 2,AZIONE - ITALIA VIVA - CALENDA,AZIONE - ITALIA VIVA - CALENDA,81476
PIEMONTE 2,ITALEXIT PER L'ITALIA,ITALEXIT PER L'ITALIA,25453
PIEMONTE 2,UNIONE POPOLARE CON DE MAGISTRIS,UNIONE POPOLARE CON DE MAGISTRIS,10560
PIEMONTE 2,ITALIA SOVRANA E POPOLARE,ITALIA SOVRANA E POPOLARE,15794
LOMBARDIA 1,CDX,FRATELLI D'ITALIA CON GIORGIA MELONI,481575
LOMBARDIA 1,CDX,LEGA PER SALVINI PREMIER,193275
LOMBARDIA 1,CDX,FORZA ITALIA,143347
LOMBARDIA 1,CDX,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,20335
LOMBARDIA 1,CSX,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,418878
LOMBARDIA 1,CSX,ALLEANZA VERDI E SINISTRA,89516
LOMBARDIA 1,CSX,+EUROPA,81727
LOMBARDIA 1,CSX,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,8140
LOMBARDIA 1,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,170864
LOMBARDIA 1,AZIONE - ITALIA VIVA - CALENDA,AZIONE - ITALIA VIVA - CALENDA,222915
LOMBARDIA 1,ITALEXIT PER L'ITALIA,ITALEXIT PER L'ITALIA,34869
LOMBARDIA 1,UNIONE POPOLARE CON DE MAGISTRIS,UNIONE POPOLARE CON DE MAGISTRIS,24657
LOMBARDIA 1,ITALIA SOVRANA E POPOLARE,ITALIA SOVRANA E POPOLARE,21305
LOMBARDIA 1,VITA,VITA,11269
